#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 265.8 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "5"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_XXmm_SINGLE_LAYER"
 3.943112493E-01 9.143882990E-01 -6.842136499E-04
 3.943086267E-01 9.143882990E-01 -6.837554392E-04
 3.910982311E-01 9.143882990E-01 -1.277258998E-04
 3.910956085E-01 9.143882990E-01 -1.272713416E-04
 3.878900111E-01 9.143882990E-01 4.254182277E-04
 3.878873885E-01 9.143882990E-01 4.258700646E-04
 3.846875727E-01 9.143882990E-01 9.751527687E-04
 3.846849501E-01 9.143882990E-01 9.756018408E-04
 3.814898133E-01 9.143882990E-01 1.520547899E-03
 3.814871907E-01 9.143882990E-01 1.520993421E-03
 3.782988787E-01 9.143882990E-01 2.063459018E-03
 3.782962859E-01 9.143882990E-01 2.063902561E-03
 3.751136959E-01 9.143882990E-01 2.601960907E-03
 3.751111031E-01 9.143882990E-01 2.602400724E-03
 3.719351888E-01 9.143882990E-01 3.135986626E-03
 3.719325960E-01 9.143882990E-01 3.136422951E-03
 3.687615395E-01 9.143882990E-01 3.667666111E-03
 3.687589467E-01 9.143882990E-01 3.668100340E-03
 3.655955493E-01 9.143882990E-01 4.193801433E-03
 3.655929565E-01 9.143882990E-01 4.194231238E-03
 3.624353707E-01 9.143882990E-01 4.717520904E-03
 3.624327779E-01 9.143882990E-01 4.717948847E-03
 3.592818677E-01 9.143882990E-01 5.236766301E-03
 3.592793047E-01 9.143882990E-01 5.237190519E-03
 3.561351895E-01 9.143882990E-01 5.752524827E-03
 3.561326265E-01 9.143882990E-01 5.752946250E-03
 3.529952168E-01 9.143882990E-01 6.263808347E-03
 3.529926538E-01 9.143882990E-01 6.264226045E-03
 3.498619795E-01 9.143882990E-01 6.771611050E-03
 3.498594165E-01 9.143882990E-01 6.772025954E-03
 3.467365503E-01 9.143882990E-01 7.275861222E-03
 3.467339873E-01 9.143882990E-01 7.276273333E-03
 3.436177969E-01 9.143882990E-01 7.775634527E-03
 3.436152637E-01 9.143882990E-01 7.776042912E-03
 3.405057490E-01 9.143882990E-01 8.270930499E-03
 3.405032158E-01 9.143882990E-01 8.271334693E-03
 3.374025822E-01 9.143882990E-01 8.763598278E-03
 3.374000490E-01 9.143882990E-01 8.764000610E-03
 3.343060315E-01 9.143882990E-01 9.250795469E-03
 3.343034983E-01 9.143882990E-01 9.251193143E-03
 3.312171996E-01 9.143882990E-01 9.734439664E-03
 3.312146664E-01 9.143882990E-01 9.734834544E-03
 3.281361163E-01 9.143882990E-01 1.021353528E-02
 3.281336129E-01 9.143882990E-01 1.021392643E-02
 3.250637949E-01 9.143882990E-01 1.068901177E-02
 3.250612915E-01 9.143882990E-01 1.068940014E-02
 3.219991624E-01 9.143882990E-01 1.115993690E-02
 3.219966590E-01 9.143882990E-01 1.116032153E-02
 3.189422488E-01 9.143882990E-01 1.162631810E-02
 3.189397454E-01 9.143882990E-01 1.162669901E-02
 3.158941269E-01 9.143882990E-01 1.208907459E-02
 3.158916235E-01 9.143882990E-01 1.208945271E-02
 3.128536344E-01 9.143882990E-01 1.254728623E-02
 3.128511608E-01 9.143882990E-01 1.254766062E-02
 3.098228872E-01 9.143882990E-01 1.300080959E-02
 3.098204136E-01 9.143882990E-01 1.300118025E-02
 3.067999184E-01 9.143882990E-01 1.345077902E-02
 3.067974448E-01 9.143882990E-01 1.345114689E-02
 3.037865758E-01 9.143882990E-01 1.389506739E-02
 3.037841022E-01 9.143882990E-01 1.389543060E-02
 3.007809818E-01 9.143882990E-01 1.433580276E-02
 3.007785380E-01 9.143882990E-01 1.433616318E-02
 2.977850735E-01 9.143882990E-01 1.477184985E-02
 2.977826297E-01 9.143882990E-01 1.477220561E-02
 2.947989106E-01 9.143882990E-01 1.520321053E-02
 2.947964668E-01 9.143882990E-01 1.520356257E-02
 2.918204069E-01 9.143882990E-01 1.563002355E-02
 2.918179631E-01 9.143882990E-01 1.563037187E-02
 2.888526618E-01 9.143882990E-01 1.605307311E-02
 2.888502479E-01 9.143882990E-01 1.605341956E-02
 2.858935595E-01 9.143882990E-01 1.647051238E-02
 2.858911455E-01 9.143882990E-01 1.647085324E-02
 2.829451859E-01 9.143882990E-01 1.688318886E-02
 2.829427719E-01 9.143882990E-01 1.688352600E-02
 2.800055444E-01 9.143882990E-01 1.729224809E-02
 2.800031304E-01 9.143882990E-01 1.729258150E-02
 2.770765126E-01 9.143882990E-01 1.769555174E-02
 2.770741284E-01 9.143882990E-01 1.769588143E-02
 2.741562128E-01 9.143882990E-01 1.809423417E-02
 2.741538286E-01 9.143882990E-01 1.809456013E-02
 2.712466121E-01 9.143882990E-01 1.848816499E-02
 2.712442279E-01 9.143882990E-01 1.848848723E-02
 2.683476806E-01 9.143882990E-01 1.887733303E-02
 2.683453262E-01 9.143882990E-01 1.887765154E-02
 2.654584348E-01 9.143882990E-01 1.926181465E-02
 2.654560804E-01 9.143882990E-01 1.926212944E-02
 2.625799179E-01 9.143882990E-01 1.964153908E-02
 2.625775635E-01 9.143882990E-01 1.964185014E-02
 2.597120404E-01 9.143882990E-01 2.001550980E-02
 2.597096860E-01 9.143882990E-01 2.001581527E-02
 2.568547726E-01 9.143882990E-01 2.038472146E-02
 2.568524480E-01 9.143882990E-01 2.038502321E-02
 2.540082932E-01 9.143882990E-01 2.074917592E-02
 2.540059686E-01 9.143882990E-01 2.074947394E-02
 2.511724532E-01 9.143882990E-01 2.110887133E-02
 2.511701286E-01 9.143882990E-01 2.110916562E-02
 2.483472526E-01 9.143882990E-01 2.146281675E-02
 2.483449429E-01 9.143882990E-01 2.146310546E-02
 2.455337346E-01 9.143882990E-01 2.181192860E-02
 2.455314398E-01 9.143882990E-01 2.181221358E-02
 2.427309304E-01 9.143882990E-01 2.215628512E-02
 2.427286357E-01 9.143882990E-01 2.215656638E-02
 2.399397343E-01 9.143882990E-01 2.249482088E-02
 2.399374545E-01 9.143882990E-01 2.249509655E-02
 2.371602207E-01 9.143882990E-01 2.282852493E-02
 2.371579558E-01 9.143882990E-01 2.282879688E-02
 2.343913615E-01 9.143882990E-01 2.315647341E-02
 2.343890965E-01 9.143882990E-01 2.315674163E-02
 2.316351682E-01 9.143882990E-01 2.347952500E-02
 2.316329181E-01 9.143882990E-01 2.347978950E-02
 2.288896888E-01 9.143882990E-01 2.379781753E-02
 2.288874388E-01 9.143882990E-01 2.379807830E-02
 2.261567861E-01 9.143882990E-01 2.411022224E-02
 2.261545509E-01 9.143882990E-01 2.411047742E-02
 2.234355509E-01 9.143882990E-01 2.441679686E-02
