#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 265.8 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "5"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
 3.975271583E-01 9.144051075E-01 -1.244516578E-03
 3.943086267E-01 9.144051075E-01 -6.837554392E-04
 3.943074644E-01 9.144051075E-01 -6.835564272E-04
 3.910956085E-01 9.144051075E-01 -1.272713416E-04
 3.910944760E-01 9.144051075E-01 -1.270735374E-04
 3.878873885E-01 9.144051075E-01 4.258700646E-04
 3.878862560E-01 9.144051075E-01 4.260666610E-04
 3.846849501E-01 9.144051075E-01 9.756018408E-04
 3.846838176E-01 9.144051075E-01 9.757968946E-04
 3.814871907E-01 9.144051075E-01 1.520993421E-03
 3.814860582E-01 9.144051075E-01 1.521187602E-03
 3.782962859E-01 9.144051075E-01 2.063902561E-03
 3.782951534E-01 9.144051075E-01 2.064095112E-03
 3.751111031E-01 9.144051075E-01 2.602400724E-03
 3.751099706E-01 9.144051075E-01 2.602591645E-03
 3.719325960E-01 9.144051075E-01 3.136422951E-03
 3.719314635E-01 9.144051075E-01 3.136613173E-03
 3.687589467E-01 9.144051075E-01 3.668100340E-03
 3.687578142E-01 9.144051075E-01 3.668288467E-03
 3.655929565E-01 9.144051075E-01 4.194231238E-03
 3.655918241E-01 9.144051075E-01 4.194418434E-03
 3.624327779E-01 9.144051075E-01 4.717948847E-03
 3.624316454E-01 9.144051075E-01 4.718134645E-03
 3.592793047E-01 9.144051075E-01 5.237190519E-03
 3.592781723E-01 9.144051075E-01 5.237374920E-03
 3.561326265E-01 9.144051075E-01 5.752946250E-03
 3.561314940E-01 9.144051075E-01 5.753129255E-03
 3.529926538E-01 9.144051075E-01 6.264226045E-03
 3.529915214E-01 9.144051075E-01 6.264407653E-03
 3.498594165E-01 9.144051075E-01 6.772025954E-03
 3.498582840E-01 9.144051075E-01 6.772206165E-03
 3.467339873E-01 9.144051075E-01 7.276273333E-03
 3.467328846E-01 9.144051075E-01 7.276452146E-03
 3.436152637E-01 9.144051075E-01 7.776042912E-03
 3.436141610E-01 9.144051075E-01 7.776219863E-03
 3.405032158E-01 9.144051075E-01 8.271334693E-03
 3.405021131E-01 9.144051075E-01 8.271510713E-03
 3.374000490E-01 9.144051075E-01 8.764000610E-03
 3.373989463E-01 9.144051075E-01 8.764174767E-03
 3.343034983E-01 9.144051075E-01 9.251193143E-03
 3.343023956E-01 9.144051075E-01 9.251366369E-03
 3.312146664E-01 9.144051075E-01 9.734834544E-03
 3.312135637E-01 9.144051075E-01 9.735005908E-03
 3.281336129E-01 9.144051075E-01 1.021392643E-02
 3.281325102E-01 9.144051075E-01 1.021409687E-02
 3.250612915E-01 9.144051075E-01 1.068940014E-02
 3.250601888E-01 9.144051075E-01 1.068956871E-02
 3.219966590E-01 9.144051075E-01 1.116032153E-02
 3.219955564E-01 9.144051075E-01 1.116048824E-02
 3.189397454E-01 9.144051075E-01 1.162669901E-02
 3.189386427E-01 9.144051075E-01 1.162686478E-02
 3.158916235E-01 9.144051075E-01 1.208945271E-02
 3.158905506E-01 9.144051075E-01 1.208961662E-02
 3.128511608E-01 9.144051075E-01 1.254766062E-02
 3.128500879E-01 9.144051075E-01 1.254782267E-02
 3.098204136E-01 9.144051075E-01 1.300118025E-02
 3.098193407E-01 9.144051075E-01 1.300134137E-02
 3.067974448E-01 9.144051075E-01 1.345114689E-02
 3.067963719E-01 9.144051075E-01 1.345130615E-02
 3.037841022E-01 9.144051075E-01 1.389543060E-02
 3.037830293E-01 9.144051075E-01 1.389558800E-02
 3.007785380E-01 9.144051075E-01 1.433616318E-02
 3.007774651E-01 9.144051075E-01 1.433631871E-02
 2.977826297E-01 9.144051075E-01 1.477220561E-02
 2.977815568E-01 9.144051075E-01 1.477236021E-02
 2.947964668E-01 9.144051075E-01 1.520356257E-02
 2.947953939E-01 9.144051075E-01 1.520371530E-02
 2.918179631E-01 9.144051075E-01 1.563037187E-02
 2.918168902E-01 9.144051075E-01 1.563052274E-02
 2.888502479E-01 9.144051075E-01 1.605341956E-02
 2.888491750E-01 9.144051075E-01 1.605356857E-02
 2.858911455E-01 9.144051075E-01 1.647085324E-02
 2.858901024E-01 9.144051075E-01 1.647100039E-02
 2.829427719E-01 9.144051075E-01 1.688352600E-02
 2.829417288E-01 9.144051075E-01 1.688367315E-02
 2.800031304E-01 9.144051075E-01 1.729258150E-02
 2.800020874E-01 9.144051075E-01 1.729272492E-02
 2.770741284E-01 9.144051075E-01 1.769588143E-02
 2.770730853E-01 9.144051075E-01 1.769602485E-02
 2.741538286E-01 9.144051075E-01 1.809456013E-02
 2.741527855E-01 9.144051075E-01 1.809470169E-02
 2.712442279E-01 9.144051075E-01 1.848848723E-02
 2.712431848E-01 9.144051075E-01 1.848862693E-02
 2.683453262E-01 9.144051075E-01 1.887765154E-02
 2.683442831E-01 9.144051075E-01 1.887778938E-02
 2.654560804E-01 9.144051075E-01 1.926212944E-02
 2.654550374E-01 9.144051075E-01 1.926226541E-02
 2.625775635E-01 9.144051075E-01 1.964185014E-02
 2.625765502E-01 9.144051075E-01 1.964198425E-02
 2.597096860E-01 9.144051075E-01 2.001581527E-02
 2.597086728E-01 9.144051075E-01 2.001594752E-02
 2.568524480E-01 9.144051075E-01 2.038502321E-02
 2.568514347E-01 9.144051075E-01 2.038515359E-02
 2.540059686E-01 9.144051075E-01 2.074947394E-02
 2.540049553E-01 9.144051075E-01 2.074960247E-02
 2.511701286E-01 9.144051075E-01 2.110916562E-02
 2.511691153E-01 9.144051075E-01 2.110929228E-02
 2.483449429E-01 9.144051075E-01 2.146310546E-02
 2.483439296E-01 9.144051075E-01 2.146323025E-02
 2.455314398E-01 9.144051075E-01 2.181221358E-02
 2.455304414E-01 9.144051075E-01 2.181233652E-02
 2.427286357E-01 9.144051075E-01 2.215656638E-02
 2.427276373E-01 9.144051075E-01 2.215668745E-02
 2.399374545E-01 9.144051075E-01 2.249509655E-02
 2.399364561E-01 9.144051075E-01 2.249521576E-02
 2.371579558E-01 9.144051075E-01 2.282879688E-02
 2.371569723E-01 9.144051075E-01 2.282891423E-02
 2.343890965E-01 9.144051075E-01 2.315674163E-02
 2.343881130E-01 9.144051075E-01 2.315685712E-02
 2.316329181E-01 9.144051075E-01 2.347978950E-02
 2.316319346E-01 9.144051075E-01 2.347990312E-02
 2.288874388E-01 9.144051075E-01 2.379807830E-02
 2.288864553E-01 9.144051075E-01 2.379819006E-02
 2.261545509E-01 9.144051075E-01 2.411047742E-02
 2.261535823E-01 9.144051075E-01 2.411058731E-02
 2.234333307E-01 9.144051075E-01 2.441704646E-02
 2.234323621E-01 9.144051075E-01 2.441715449E-02
 2.207237631E-01 9.144051075E-01 2.471879125E-02
 2.207227945E-01 9.144051075E-01 2.471889742E-02
 2.180268317E-01 9.144051075E-01 2.501464076E-02
 2.180258781E-01 9.144051075E-01 2.501474507E-02
 2.153425962E-01 9.144051075E-01 2.530559152E-02
 2.153416425E-01 9.144051075E-01 2.530569397E-02
 2.126699686E-01 9.144051075E-01 2.559071966E-02
 2.126690149E-01 9.144051075E-01 2.559082024E-02
 2.100109756E-01 9.144051075E-01 2.586988360E-02
 2.100100219E-01 9.144051075E-01 2.586998232E-02
 2.073636502E-01 9.144051075E-01 2.614421770E-02
 2.073627114E-01 9.144051075E-01 2.614431456E-02
 2.047289610E-01 9.144051075E-01 2.641265839E-02
 2.047280222E-01 9.144051075E-01 2.641275153E-02
 2.021068782E-01 9.144051075E-01 2.667520754E-02
 2.021059394E-01 9.144051075E-01 2.667529881E-02
 1.994984299E-01 9.144051075E-01 2.693178691E-02
 1.994975060E-01 9.144051075E-01 2.693187632E-02
 1.969026625E-01 9.144051075E-01 2.718346938E-02
 1.969017386E-01 9.144051075E-01 2.718355693E-02
 1.943205148E-01 9.144051075E-01 2.742919326E-02
 1.943195909E-01 9.144051075E-01 2.742927894E-02
 1.917510629E-01 9.144051075E-01 2.767001465E-02
 1.917501539E-01 9.144051075E-01 2.767009847E-02
 1.891941577E-01 9.144051075E-01 2.790394425E-02
 1.891932487E-01 9.144051075E-01 2.790402621E-02
 1.866519302E-01 9.144051075E-01 2.813283913E-02
 1.866510212E-01 9.144051075E-01 2.813291922E-02
 1.841223240E-01 9.144051075E-01 2.835583687E-02
